cdno_id	fdc.nutrient	fdc.nbr	infoods
cdno:0200633	1215	506	OPEN
cdno:0200639	1096	310	OPEN
cdno:0200642	1098	312	OPEN
cdno:0200645	1099	313	OPEN
cdno:0200648	1100	314	OPEN
cdno:0200651	1089	303	OPEN
cdno:0200657	1101	315	OPEN
cdno:0200661	1102	316	OPEN
cdno:0200665	1103	317	OPEN
cdno:0200670	1095	309	OPEN
cdno:0200685	1013	213	LACS
cdno:0200689	OPEN	OPEN	DEXTN
cdno:0200690	OPEN	OPEN	MALTDEX
cdno:0200694	OPEN	OPEN	GUMS
cdno:0200706	OPEN	OPEN	MALTL
cdno:0200711	OPEN	OPEN	LACTL
cdno:0200712	OPEN	OPEN	ISOMALT
cdno:0200713	OPEN	OPEN	ERYTHL
cdno:0200760	1206	466	OPEN
cdno:0200795	1381	772	OPEN
cdno:0200796	1390	788	OPEN
cdno:0200816	1387	785	OPEN
cdno:0200826	1386	784	OPEN
cdno:0200834	1361	746	OPEN
cdno:0200845	1357	741	OPEN
cdno:0200846	1360	745	OPEN
cdno:0200852	1376	761	OPEN
cdno:0200858	1345	715	OPEN
cdno:0200861	1344	714	OPEN
cdno:0200918	1083	296	OPEN
cdno:0200921	1054	259	OPEN
